job_description,skill
"PAYROLL","compensation and benefits. the sr. hr generalist has responsibilities that are strategic"
"SCREENING AND SELECTION FOR SELECTED ROLES.· CREATE AND REVISE JOB DESCRIPTIONS TO ALIGN WITH ORGANIZATIONAL NEEDS.· PARTNER WITH LEARNING AND DEVELOPMENT TO SUPPORT THE DEVELOPMENT AND IMPLEMENTATION OF EMPLOYEE DEVELOPMENT PROGRAMS AND TRAINING INITIATIVES.· SUPPORT HR OPERATIONS IN THE ADMINISTRATION OF HEALTH","welfare"
"FLSA","erisa and eeoc guidelines.strong analytical skills with the ability to interpret data and generate actionable insights.· demonstrated ability to build strong relationships and influence stakeholders at all levels of the organization.knowledge of payroll processing.skill in detail orientation and accuracy in processing payroll data.knowledge of performance management frameworks and processes.· skills in job design and writing job descriptions.skills in salary administration.skill in employee benefits administration. · excellent communication and interpersonal skills"
"SHRM-CP OR SCP","phr or sphr) required."
"AND COORDINATING ALL ACTIVITIES UNDER THE HUMAN RESOURCES UMBRELLA INCLUDING BUT NOT LIMITED TO TALENT ACQUISITION","compensation and benefit structure"
"RECOGNITION","engagement"
"THERE ARE AMPLE OPPORTUNITIES FOR CAREER ADVANCEMENT WITHIN THE ORGANIZATION. **TOP REASONS TO JOIN OUR CLIENT:**1. **EMPLOYEE OWNERSHIP:** OUR CLIENT IS 33% ESOP (EMPLOYEE OWNED)","offering the chance to thrive from the companys success with a short 3-year vesting period.2. **great benefits:** enjoy 100% paid health premiums for individuals and families"
"RETENTION","and succession planning.foster a positive and inclusive workplace culture that supports creativity"
"ACCOUNTING","and payroll team on job code related issuescontribute to creating solutions for best practices initiatives in such areas as employment"
"CLIENTS","and colleagues and the ability to work effectively with all levels of the organizationdemonstrated customer service focus and client communication skills"
